backend,concurrency,repetition,worker,state,completion_ms,wall_ms,throughput_per_s,peak_tree_rss_mib,idle_rss_mib,prepare_ms,errors,expected_errors,correct,reported_version
lake-build,4,1,2,repair,6707.437004,6714.12564,0.5957588842498932,15458.93359375,0.0,4250.818625,0,0,True,6
lake-build,4,1,3,repair,6601.117671,6714.12564,0.5957588842498932,15458.93359375,0.0,4251.522718,0,0,True,6
lake-build,4,1,4,repair,6295.398155,6714.12564,0.5957588842498932,15458.93359375,0.0,4279.293217,0,0,True,6
lake-build,4,2,1,valid,3798.197083,3827.249532,1.0451369754063897,3881.984375,0.0,4327.227446,0,0,True,7
lake-build,4,2,2,valid,3637.705119,3827.249532,1.0451369754063897,3881.984375,0.0,4250.818625,0,0,True,7
lake-build,4,2,3,valid,3672.588927,3827.249532,1.0451369754063897,3881.984375,0.0,4251.522718,0,0,True,7
lake-build,4,2,4,valid,3688.576202,3827.249532,1.0451369754063897,3881.984375,0.0,4279.293217,0,0,True,7
lake-build,4,2,1,error,6438.677093,6449.586274,0.6201948202670092,15521.10546875,0.0,4327.227446,1,1,True,8
lake-build,4,2,2,error,6334.280092,6449.586274,0.6201948202670092,15521.10546875,0.0,4250.818625,1,1,True,8
lake-build,4,2,3,error,6375.825876,6449.586274,0.6201948202670092,15521.10546875,0.0,4251.522718,1,1,True,8
lake-build,4,2,4,error,6339.466912,6449.586274,0.6201948202670092,15521.10546875,0.0,4279.293217,1,1,True,8
lake-build,4,2,1,repair,6245.419438,6586.783209,0.6072767044366223,15299.9765625,0.0,4327.227446,0,0,True,9
lake-build,4,2,2,repair,6556.448856,6586.783209,0.6072767044366223,15299.9765625,0.0,4250.818625,0,0,True,9
lake-build,4,2,3,repair,6284.932571,6586.783209,0.6072767044366223,15299.9765625,0.0,4251.522718,0,0,True,9
lake-build,4,2,4,repair,6443.995945,6586.783209,0.6072767044366223,15299.9765625,0.0,4279.293217,0,0,True,9
